id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.225667324844967,0.44538544425692295,0.6045183834078607,0.5123216922951545,0.554614555743077
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.5287449138221154,0.18234620009019956,0.9167810187297947,0.7378712524839199,0.8176537999098004
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.8754887502163458,0.11881719490753548,0.931764684577758,0.83580993559583,0.8811828050924644
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.666666666666667,0.10805101626208158,1.0000000000000002,0.8049710443358778,0.8919489837379186
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.707785773632085,0.24613054331855885,0.805069024540352,0.7087927240455162,0.7538694566814413
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.4503258334775646,0.06861109109953051,0.9582013815667277,0.9060361287804418,0.9313889089004695
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.8181818181818181,0.8571428571428571
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9123397061368799,0.14105670265759004,0.8748564050123129,0.8435987475140336,0.8589432973424102
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.0505865002596133,0.13828736247790338,0.8838397343940443,0.8406663935005696,0.8617126375220963
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.3474058620215192,0.18726102201713843,0.8926032456721114,0.7459924775524753,0.8127389779828614
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.4677434185528888,0.1960847830053163,0.8483498713097654,0.7639036646654233,0.8039152169946837
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.8235294117647083,0.1196849857637141,0.9279108711221055,0.8373636472912418,0.8803150142362863
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.5754772696412855,0.20560629973687147,0.8595340587964123,0.7384312020238469,0.7943937002631287
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.6055727935021409,0.2032686705314257,0.8569075585159209,0.7444522600733036,0.7967313294685745
16,`` Apparently the commission did not really believe in this ideal . '',0.519606730935652,0.07904470615755656,1.0,0.8534913230073067,0.9209552938424435
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.0088220835496813,0.1374736822851547,0.9266994549780891,0.8066654328611513,0.8625263177148457
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5974937501201936,0.07717208180737699,0.9698357992989892,0.8801663115996204,0.9228279181926231
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.3189355318055895,0.15913386943717528,0.8680558791126916,0.81532795651578,0.8408661305628251
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.1288507144093396,0.1416066603278827,0.9175904509512144,0.8063713770523425,0.8583933396721172
21,"The SEC will probably vote on the proposal early next year , he said .",0.5333333333333323,0.07325556665525833,0.9619796142199876,0.8939992234916214,0.9267444333447414
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
