id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,7.654464775722362,0.8070694412988765,0.21021510187238684,0.17827244101357473,0.19293055870112386
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.756070740095944,0.33958458581340856,0.7168320897082685,0.6122311249810352,0.6604154141865913
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.3754887502163466,0.1945977995595381,0.8169601759264891,0.7941666965794868,0.8054022004404618
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.0000000000000009,0.16207652439312242,0.9394298226512525,0.7562138054198472,0.8379234756068777
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.7902119641687468,0.2491931486163505,0.83016739600776,0.6852954602856203,0.7508068513836498
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.8503258334775641,0.1269751626792549,0.9164027631334556,0.8335678998535678,0.873024837320745
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.5,0.09090909090909091,0.9999999999999999,0.8333333333333333,0.9090909090909091
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9123397061368808,0.12982806527456275,0.9629472452509071,0.7937025337327381,0.8701719347254375
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.1305865002596107,0.14726689623645917,0.8838397343940443,0.8237416189080711,0.8527331037635403
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",2.3598273630584004,0.3101873417782347,0.8010205374684592,0.6057190240039213,0.6898126582217653
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.588931079508674,0.33527266103400494,0.7236430372992281,0.6146826923558955,0.6647273389659952
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.294117647058826,0.18807640620012198,0.8558217422442106,0.7723091062077384,0.8119235937998783
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,3.1145252484106036,0.40497751479975425,0.6461686694288523,0.5513791733037743,0.595022485200246
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.536946656941825,0.3265963249160799,0.7122591699653671,0.6385682041832056,0.6734036750839199
16,`` Apparently the commission did not really believe in this ideal . '',1.4426836540125754,0.24213431493904766,0.7458757465498806,0.7702473973982094,0.7578656850609522
